Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1996:04       0.05       3.2      204.8     4.4       0.08 
     1996:05       0.03       4.1      206.0     3.6       0.09 
     1996:06       0.02       4.4      207.2     2.6       0.11 
     1996:07       0.02       3.6      207.5     5.0       0.07 
     1996:08       0.03       3.4      208.5     3.4       0.09 
     1996:09       0.03       3.2      209.3     2.8       0.10 
     1996:10       0.01       4.1      209.8     3.8       0.10 
     1996:11       0.01       4.8      210.8     3.3       0.09 
     1996:12       0.01       4.6      211.0     4.8       0.08 
     1997:01       0.03       3.5      211.3     4.1       0.10 
     1997:02       0.03       3.1      212.8     4.1       0.09 
     1997:03       0.04       2.6      213.8     4.3       0.10 
     1997:04       0.05       2.0      214.9     3.4       0.10 
     1997:05       0.07       2.0      215.3     2.7       0.10 
     1997:06       0.03       3.3      216.1     2.1       0.11 
     1997:07       0.01       4.7      217.1     4.6       0.08 
     1997:08       0.01       4.6      218.2     4.3       0.08 
     1997:09       0.02       3.9      219.4     4.8       0.07 
     1997:10       0.02       3.7      220.2     5.5       0.07 
     1997:11       0.03       3.5      221.0     4.3       0.08 
     1997:12       0.02       3.6      221.9     4.9       0.08 
     1998:01       0.01       4.2      223.1     4.4       0.06 
     1998:02       0.02       4.6      223.7     5.2       0.05 
     1998:03       0.03       4.1      224.5     4.7       0.06 
     1998:04       0.03       3.9      224.9     3.3       0.08 
     1998:05       0.04       3.2      225.8     3.4       0.08 
     1998:06       0.06       2.0      225.7     3.6       0.08 
     1998:07       0.07       1.9      226.0     3.9       0.07 
     1998:08       0.05       2.9      227.7     5.0       0.06 
     1998:09       0.07       2.8      227.9     3.9       0.06 
     1998:10       0.03       4.6      228.9     4.6       0.04 
     1998:11       0.06       4.2      229.7     4.2       0.05 
     1998:12       0.05       4.0      230.4     5.6       0.04 
     1999:01       0.04       4.1      230.5     5.8       0.04 
